,rfid,product_id,product_name,price
0,0x4 0xE 0xE 0x22 0x29 0x5E 0x85,1158,Mango Chunks,30
1,0x4 0x19 0xA 0x22 0x29 0x5E 0x85,2295,Yellow Bell Pepper,22
2,0x4 0x1C 0x9 0x22 0x29 0x5E 0x85,4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,20
3,0x4 0x1F 0x8 0x22 0x29 0x5E 0x85,6184,Clementines,80
4,0x4 0x21 0x8 0x22 0x29 0x5E 0x85,8048,Packaged Grape Tomatoes,60
5,0x4 0x1E 0x9 0x22 0x29 0x5E 0x85,8571,Baby Cucumbers,35
6,0x4 0x1B 0xA 0x22 0x29 0x5E 0x85,15290,Orange Bell Pepper,24
7,0x4 0x18 0xB 0x22 0x29 0x5E 0x85,17948,Frozen Organic Wild Blueberries,99
8,0x4 0x15 0xC 0x22 0x29 0x5E 0x85,21292,Rainbow Bell Peppers,96
9,0x4 0x12 0xD 0x22 0x29 0x5E 0x85,24799,Vanilla Skyr Nonfat Yogurt,32
10,0x86 0xE2 0xBF 0xFB,28465,Icelandic Style Skyr Blueberry Non-fat Yogurt,35
11,0x96 0xCA 0xC0 0xFB,30827,Seedless Cucumbers,38
12,0x36 0xBD 0xBE 0xFB,33754,Total 2% with Strawberry Lowfat Greek Strained Yogurt,18
13,0xA6 0xFA 0xAF 0xFB,33787,Total 2% Lowfat Greek Strained Yogurt with Peach,18
14,0x66 0xE3 0xE3 0xFB,36865,Non Fat Raspberry Yogurt,25
